Genus,Species,Capellini_BMR..mlO2.hour.,Capellini_Body.mass.for.BMR..gr.,Capellini_Reference.for.BMR,Capellini_FMR..kJ.day.,Capellini_Body.mass.for.FMR..gr.,Smith_Log.mass,Smith_Combined.mass,Ernest_mass.g.,Ernest_gestation.mo.,Ernest_newborn.g.,Ernest_weaning.mo.,Ernest_wean.mass.g.,Ernest_AFR.mo.,Ernest_max..life.mo.,Ernest_litter.size,Ernest_litters.year,Common.name,AnAge_Female.maturity..days.,AnAge_Male.maturity..days.,AnAge_Gestation.Incubation..days.,AnAge_Weaning..days.,AnAge_Litter.Clutch.size,AnAge_Litters.Clutches.per.year,AnAge_Inter.litter.Interbirth.interval,AnAge_Birth.weight..g.,AnAge_Weaning.weight..g.,AnAge_Adult.weight..g.,AnAge_Growth.rate..1.days.,AnAge_Maximum.longevity..yrs.,AnAge_Source,AnAge_Specimen.origin,AnAge_Sample.size,AnAge_Data.quality,AnAge_IMR..per.yr.,AnAge_MRDT..yrs.,AnAge_Metabolic.rate..W.,AnAge_Body.mass..g.,AnAge_Temperature..K.,AnAge_References,MamDiet_Animal,MamDiet_Vertebrate,MamDiet_Mammal,MamDiet_Bird,MamDiet_Herptile,MamDiet_Fish,MamDiet_Invertebrate,MamDiet_Plant,MamDiet_Seed,MamDiet_Fruit,MamDiet_Nectar,MamDiet_Root,MamDiet_Leaf,MamDiet_Woody,MamDiet_Herbaceous,MamDiet_Other,MamDiet_TaxonomicNote,MamDiet_FillCode,MamDiet_TrophicLevel,MamDiet_MammalEater,MamDiet_Insectivore,MamDiet_Frugivore,MamDiet_Granivore,MamDiet_Folivore,Sieg_Tb,Sieg_Mass.Mean,Sieg_Mass.SD,Sieg_BMR.Mean,Sieg_BMR.SD,Pacifici_AdultBodyMass_g,Pacifici_Max_longevity_d,Pacifici_Rspan_d,Pacifici_AFR_d,Pacifici_Data_AFR,Pacifici_Calculated_GL_d,Pacifici_GenerationLength_d,Pineda_Seeds,Pineda_Invertebrate,Pineda_Fungi,Pineda_Vertebrate,Pineda_Flowers.Gum,Pineda_Roots.Tubers,Pineda_Green.Plants,Pineda_Fruit,Pineda_Main_food,Pineda_Body_mass_g
Spermophilus,parryii,NA,NA,NA,NA,NA,2.88,760,751,0.83,NA,NA,NA,11.34,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,,0,Omnivore,0,0,1,1,1,37,934.7,216.7,797.6,163.9,747.09,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,759.99
Spermophilus,variegatus,NA,NA,NA,NA,NA,2.84,691.6,663.03,1,7.8,1.75,100,NA,NA,4.27,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,0,0,2,1,1,1,0,0,0,0,0,0,,0,Omnivore,0,0,1,1,0,NA,NA,NA,NA,NA,714.58,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,691.64
Spermophilus,washingtoni,NA,NA,NA,NA,NA,2.32,207.5,203,NA,NA,1,33,12,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,,0,Omnivore,0,1,0,1,1,NA,NA,NA,NA,NA,215.09,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,207.5
Spermophilus,brunneus,NA,NA,NA,NA,NA,2.48,300,205,NA,NA,NA,NA,NA,NA,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,0,Herbivore,0,0,0,1,0,NA,NA,NA,NA,NA,300,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,300
Spermophilus,elegans,NA,NA,NA,NA,NA,2.66,453.6,401.05,0.8,6.02,1.25,80,NA,NA,5.35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,1,Omnivore,0,1,1,1,1,NA,NA,NA,NA,NA,324.45,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,453.6
Spermophilus,mollis,NA,NA,NA,NA,NA,2.22,165.4,165.4,0.78,3.95,1.13,NA,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,3,1,1,0,0,0,1,3,1,0,,0,Herbivore,0,0,0,1,1,NA,NA,NA,NA,NA,165.4,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,165.4
Spermophilus,richardsonii,NA,NA,NA,NA,NA,2.61,406,342.5,0.78,6.35,1.17,92.75,11.26,72,6.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,2,1,1,1,0,0,1,0,1,0,,0,Omnivore,0,0,1,1,1,35.5,252.3,32.9,161.5,16,325.1,NA,NA,NA,no information,NA,1053.682907,40,20,0,0,0,0,40,0,Generalist,406
Tamias,cinereicollis,NA,NA,NA,NA,NA,1.79,61.7,62.1,1,NA,1.33,NA,NA,NA,4.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,,0,Omnivore,0,1,1,1,0,NA,NA,NA,NA,NA,61.59,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,61.7
Tamias,dorsalis,NA,NA,NA,NA,NA,1.85,71.1,62.8,0.99,NA,NA,NA,NA,NA,5.16,1.5,Cliff chipmunk,NA,NA,30,NA,5.2,1.5,NA,NA,NA,62.8,NA,12.6,671,captivity,tiny,acceptable,NA,NA,NA,NA,NA,"455,610,671",2,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,,1,Omnivore,0,0,1,1,0,NA,NA,NA,NA,NA,63.66,4599,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,71.1
Tamias,obscurus,NA,NA,NA,NA,NA,1.86,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,,0,Herbivore,0,0,1,1,0,NA,NA,NA,NA,NA,72.99,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,73
Tamias,ochrogenys,NA,NA,NA,NA,NA,1.96,91.7,94.1,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,,0,Omnivore,0,1,1,1,0,NA,NA,NA,NA,NA,91.69,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,91.7
Tamias,panamintinus,NA,NA,NA,NA,NA,1.72,52.3,54.15,1.2,4,1.38,19.2,NA,NA,4.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,0,Omnivore,0,1,1,1,0,NA,NA,NA,NA,NA,51.73,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,52.3
Tamias,quadrivittatus,NA,NA,NA,NA,NA,1.79,62.2,58.13,1.05,2.6,NA,NA,11,NA,4.42,1.5,Colorado chipmunk,319,319,31,46,4.4,1,NA,2.5,NA,70,0.0238,NA,,unknown,small,low,NA,NA,NA,NA,NA,"455,511,731",3,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,,0,Herbivore,0,0,1,1,0,NA,NA,NA,NA,NA,57.49,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,62.2
Tamias,ruficaudus,NA,NA,NA,NA,NA,1.83,68,57.29,1.03,NA,NA,NA,12,96,4.06,1,Red-tailed chipmunk,335,NA,31,NA,5.5,1,NA,NA,NA,75,NA,NA,,unknown,small,low,NA,NA,NA,NA,NA,"455,511",0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,,0,Herbivore,0,0,1,1,1,NA,NA,NA,NA,NA,60.06,2920,2555,365,PanTHERIA,1105.95,1105.95,50,0,0,0,0,0,0,50,Generalist,68
