siteID,siteName,decimalLatitude,decimalLongitude,elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,sd_elevation,cv_bio1,cv_bio2,cv_bio3,cv_bio4,cv_bio5,cv_bio6,cv_bio7,cv_bio8,cv_bio9,cv_bio10,cv_bio11,cv_bio12,cv_bio13,cv_bio14,cv_bio15,cv_bio16,cv_bio17,cv_bio18,cv_bio19,ruggedness,LAI,fPAR,EVI,NDVI,NPP,GPP,cv_LAI,cv_fPAR,cv_EVI,cv_NDVI,pc1_productivityheterogeneity,pc2_topographyheterogeneity
OAES,Klemme Range Research Station,35.40984695,-99.06191571,512.4036915,15.55371459,13.32734941,34.90813165,922.2813874,34.84627679,-3.331914823,38.17819161,20.08691493,6.138581595,26.18152482,6.138581595,774.9530888,118.4963839,26.11829772,46.08789099,289.5687253,125.7465963,211.8829796,125.7465963,8.074829449,0.17596515,4.486315287,6.355140491,6.497718225,0.473287736,0.683939222,6.403677822,1.425173608,2.778749548,0.316796571,0.448619835,21.72175206,32.98369791,129.4619405,25.33757491,28.91458944,58.47423816,55.81052871,45.08141565,0.370755436,0.847807634,0.397310991,0.330397574,0.509991414,0.317156099,0.675072979,0.499448565,0.29374072,0.390253156,0.284350569,-0.793314084,-0.955168958
ONAQ,Onaqui-Ault,40.1790112,-112.4736372,1724.186171,8.916714291,15.75158095,38.41161891,909.223911,31.81754301,-9.082285677,40.89982868,9.372761901,20.11763809,20.11763809,0.158495238,326.2597716,35.69211407,19.71674288,19.00022675,93.24114273,66.41268579,66.41268579,84.72045771,115.4410859,0.273849657,4.014631956,5.784853894,6.948400111,0.487379331,0.852458364,5.685107419,1.961697056,3.030032402,0.29480502,0.600517582,24.76812562,37.24613735,85.51276083,20.7946834,31.83302544,38.69700631,55.87866941,38.48706559,0.635254029,0.481273774,0.239835149,0.175590177,0.352077558,0.1927896,0.322352686,0.492246091,0.377527435,0.13389686,0.145414018,2.328081842,2.19709849
ORNL,Oak Ridge,35.9539112,-84.28576041,292.6315985,14.49846717,11.86588811,36.34128423,817.8111171,30.54802924,-2.099416085,32.64744532,5.86270076,10.83148416,23.73725062,5.86270076,1329.500804,133.9308038,75.59956176,15.07289383,360.9081018,317.1337976,322.2963512,360.9081018,30.79861906,0.209926298,5.094530655,7.02762308,6.933523048,0.497203788,0.721972909,6.555948934,2.535681563,2.289522886,0.304269592,0.455308082,17.44197081,25.10047582,42.89200087,22.82106764,22.03562258,25.0468669,26.65319043,29.24863455,1.542086832,1.993353004,0.555648763,0.346276687,0.62106954,2.761464234,3.320547737,0.752112701,0.354942085,0.400858082,0.224638692,1.528555042,-1.740990072
OSBS,Ordway-Swisher Biological Station,29.69365872,-81.98167824,35.49836066,20.87642079,12.58032805,46.91813599,545.3960575,33.14672167,6.333278687,26.81344298,26.93112031,17.95595626,26.93112031,15.01237699,1306.200251,179.7077882,55.4368849,43.3986827,508.1298393,203.4240157,508.1298393,282.7293432,8.119908727,0.178224005,4.266459037,7.390869041,10.61070176,0.253879634,0.718996209,7.066679398,1.283654253,0.895137574,0.137810889,0.423292351,15.30490861,30.4156202,45.916361,22.78715834,23.88820783,39.52509638,26.31192587,35.82979144,0.316448204,1.032585494,0.462010742,0.324128134,0.592608568,0.714790164,1.299893934,0.35182378,0.179380261,0.167273163,0.108325008,0.383013809,-0.923033188
SCBI,Smithsonian Conservation Biology Institute,38.88915575,-78.14785155,352.0217073,11.81315043,12.20892959,34.45944161,865.8853234,29.83617876,-5.579512146,35.4156909,17.73945797,2.172113829,21.50878069,2.172113829,1077.410731,116.6592673,63.7803248,17.0617906,289.8434156,241.3347984,287.726259,241.3347984,53.44672533,0.21066702,5.210169439,7.555662834,7.094775777,0.437012204,0.850586265,6.379774543,2.607465648,2.617082765,0.285338433,0.500261865,17.91468753,26.83993444,48.81645282,24.36567113,20.931871,31.74630053,39.23040759,38.49337078,1.47524128,1.64523882,0.545465966,0.383674356,0.635658585,0.768849106,1.394853333,0.712937137,0.36922356,0.388319271,0.265404393,0.089188687,-2.167837819
SERC,Smithsonian Environmental Research Center,38.8855907,-76.54979781,12.73783951,13.572644,9.572541181,28.9722517,871.7398281,30.11407419,-2.921234572,33.03530876,17.77839496,3.795308646,23.5634979,3.795308646,1073.799752,107.8443207,69.90456852,11.82558009,287.9382717,245.7470368,283.7437046,245.7470368,8.835737027,0.206325097,12.12151966,11.74782621,6.675313833,0.411583039,0.768015169,6.474520803,2.370762907,2.842827934,0.265381294,0.446780641,16.8727477,24.81764937,56.2105379,23.46350058,23.24088054,28.8893358,36.23632396,33.35166577,0.617885624,2.131185129,0.581421989,0.342730717,0.618485341,2.082501399,2.619254979,0.767440114,0.343460329,0.384211704,0.239465968,3.792445423,-0.997718963
STEI,Steigerwaldt Land Services,45.74273622,-89.9690119,499.4232558,4.440678301,11.76708334,28.09965663,1112.646228,24.90569747,-16.9706978,41.87639527,16.49868213,-8.157286731,16.49868213,-8.157286731,797.0491871,103.6180238,22.45348848,45.63151866,293.687327,91.17023226,293.687327,91.17023226,18.67301661,0.348824726,4.400284516,7.749909312,6.905775719,0.506371515,1.210649133,7.292060542,1.728524745,1.921543673,0.317346844,0.755860108,18.96162622,25.55912163,50.80443967,19.76692025,25.67036052,34.63027808,34.21269965,35.73138904,0.218374212,2.160715171,0.539040221,0.430995187,0.729360287,0.439427562,1.02464806,0.994441172,0.53069598,0.41452433,0.226455892,-1.016026173,0.61923837
STER,North Sterling,40.4690675,-103.0242648,1361.346767,9.686916649,15.36648622,37.73231531,940.3537713,31.6313331,-9.09366684,40.72499994,13.82222215,0.409611052,20.85583344,0.409611052,433.1970001,71.9,7.795166731,67.71471616,175.3811671,42.81149983,163.0901667,42.81149983,3.775541611,0.250198237,3.851475178,6.205774555,7.002869058,0.529382916,0.741102105,5.190484349,1.553641378,0.787150373,0.309204265,0.517239982,18.02903821,30.70790526,85.90388726,21.12741485,21.54444034,51.07123997,25.0530711,50.58828145,0.120459554,0.402877373,0.216927436,0.192307748,0.332203625,0.252883,0.407204667,0.614886789,0.443572643,0.348317608,0.301864726,-1.865595134,-0.909337555
TALL,Talladega National Forest,32.92925449,-87.41309006,119.3189259,17.22591358,13.3014199,40.69910105,751.267886,33.04222274,0.359925929,32.68229681,9.360419749,25.7622963,25.7622963,9.360419749,1377.166072,138.836962,87.08785191,14.29772775,405.75763,315.8451848,315.8451848,405.75763,17.28456091,0.175806302,4.671015718,5.2264257,7.205316228,0.427124509,0.633384365,5.556986842,2.409031043,1.941240533,0.261620414,0.423583387,16.16515936,23.0495893,50.24101287,21.96623004,21.38841368,24.51066225,37.01411147,26.33913179,1.613662126,3.67381176,0.75705621,0.37000186,0.722164541,0.640191012,1.844844444,0.546691042,0.196794122,0.350075715,0.174586502,-0.91377342,-1.970377417
TREE,Treehaven,45.49176222,-89.57008501,460.8666667,4.795775455,11.86317134,28.3226786,1108.332893,25.27236109,-16.61333373,41.88569482,16.78657401,-7.796296275,16.78657401,-7.796296275,797.913757,106.7670837,22.77083339,44.77239243,293.0322251,92.74569546,293.0322251,92.74569546,6.687083619,0.336186258,4.824762847,7.736475924,6.784556725,0.506280834,1.196611073,7.245670255,1.679025749,1.253398831,0.314332383,0.73460764,16.40162728,25.31296074,53.95601356,20.80394051,23.77595679,32.76376529,31.53253236,33.84275373,0.309527301,2.046881373,0.530874079,0.385169512,0.685541778,0.496358974,1.048369451,0.958070221,0.56637299,0.387510455,0.236554129,-1.19483535,0.765226965
UKFS,The University of Kansas Field Station,39.04298711,-95.19649254,309.9542073,12.6867479,11.70416666,30.46950677,996.8558611,31.67000001,-6.742682864,38.41268287,17.9399591,2.231707314,23.81394308,2.231707314,991.4118278,141.9448793,26.31207331,46.85814667,370.8873171,122.7070737,319.6509755,122.7070737,16.49364667,0.269542759,5.79230085,8.388417487,7.65085854,0.611155762,0.887954498,8.893803108,1.019982864,1.755953221,0.378927389,0.592524097,19.95964372,28.19545521,81.97122326,16.90679273,24.70058005,33.28261567,46.44663197,35.96346207,0.858955005,1.093164356,0.450932013,0.375714013,0.632184576,0.460071707,1.005560488,0.814011544,0.507519574,0.508915431,0.328240338,-1.350138153,-0.452816065
UNDE,UNDERC,46.2355037,-89.52780665,514.6027801,4.31750594,11.8079315,28.48937982,1100.264592,24.84219896,-16.60453922,41.44673818,16.29900713,-8.157683241,16.29900713,-8.157683241,799.5643973,99.70744713,24.5085818,40.24030607,278.5567369,102.8428372,278.5567369,102.8428372,7.366548924,0.341050973,4.138788596,7.443178206,6.712702771,0.485440065,1.146572746,6.922515668,1.418960354,1.218629679,0.303107577,0.748091509,14.76608979,20.37249401,52.3603806,19.9353872,20.69944341,31.77421687,26.80615307,33.62005396,0.357445755,2.197729879,0.51384765,0.436644932,0.73635512,0.470591253,1.035832813,1.030313028,0.618250568,0.406885331,0.233098354,-1.705534378,1.073878091
WOOD,Woodworth,47.13513709,-99.24345037,585.8228667,4.912061057,12.23300005,27.07198661,1224.448164,27.50333344,-17.68360022,45.18693366,18.32748875,-8.469888962,18.32748875,-8.469888962,493.7952658,93.12626678,9.617666607,75.58802747,203.5643995,38.09226658,203.5643995,38.09226658,7.167911712,0.393620528,6.255991317,7.72187792,7.936129139,0.637452367,1.211275601,7.480777532,1.133977133,1.871952995,0.35290415,0.999002607,24.18667888,37.33687814,101.9448003,22.1734953,28.53500476,62.38216845,36.61533605,60.81900796,0.314252086,0.614250723,0.246607855,0.225799146,0.423552487,0.334992222,0.603507289,1.238684711,0.915500635,0.608770353,0.493108311,1.432419905,-0.36784872
